ID;name;budget;currency_code;description;startsAt;endsAt;traveller_ID
c4c4c4c4-0001-4444-8444-444444444401;Paris Romance Tour;5000.00;EUR;Experience the magic of Paris with guided tours of the Eiffel Tower, Louvre Museum and Versailles Palace. Enjoy romantic Seine river cruises at sunset, world-class French cuisine and strolls along the Champs-Elysees. Includes visits to Montmartre artists quarter and exclusive wine tasting sessions in historic Parisian cellars.;2026-06-01T08:00:00Z;2026-06-14T20:00:00Z;c1c1c1c1-0001-4111-8111-111111111101
c4c4c4c4-0002-4444-8444-444444444402;Bangkok Street Food Journey;95000.00;INR;Dive deep into Thailand's vibrant capital with an immersive street food experience. Explore the Grand Palace and Wat Pho temple complex, take longtail boat rides through the floating markets and discover the eclectic nightlife of Khao San Road. Includes authentic Thai cooking classes and a day trip to the ancient ruins of Ayutthaya.;2026-08-10T06:00:00Z;2026-08-20T18:00:00Z;c1c1c1c1-0001-4111-8111-111111111101
c4c4c4c4-0003-4444-8444-444444444403;Bali Beach Getaway;2800.00;USD;Unwind on pristine white sand beaches and turquoise waters of Seminyak and Kuta. Discover ancient Hindu temples of Tanah Lot and Uluwatu at sunset. Enjoy traditional Balinese spa treatments, surfing lessons and cooking classes. Explore the terraced rice paddies of Ubud and the vibrant local art market scene.;2026-07-10T07:00:00Z;2026-07-20T19:00:00Z;c1c1c1c1-0002-4111-8111-111111111102
c4c4c4c4-0004-4444-8444-444444444404;Bangalore Tech and Culture Tour;75000.00;INR;Discover the Silicon Valley of India through its thriving tech parks, historic palaces and vibrant street food culture. Visit the magnificent Mysore Palace, explore Cubbon Park and explore the bustling commercial streets of MG Road. Includes visits to ISRO Space Exhibition, craft brewery tours and a day trip to Coorg coffee plantations.;2026-09-05T08:00:00Z;2026-09-12T18:00:00Z;c1c1c1c1-0002-4111-8111-111111111102
c4c4c4c4-0005-4444-8444-444444444405;New York City Explorer;4500.00;USD;Discover the city that never sleeps with visits to Times Square, Central Park and the Statue of Liberty. Explore world-class museums including the Metropolitan and MOMA. Enjoy Broadway shows, diverse dining experiences from food trucks to Michelin-starred restaurants and shopping along Fifth Avenue and SoHo neighborhoods.;2026-08-01T09:00:00Z;2026-08-10T20:00:00Z;c1c1c1c1-0003-4111-8111-111111111103
c4c4c4c4-0006-4444-8444-444444444406;Sydney Harbour Adventure;7500.00;AUD;Explore one of the world's most beautiful harbour cities with iconic views of the Opera House and Harbour Bridge. Enjoy coastal walks from Bondi to Coogee beach, visit the Blue Mountains and explore the vibrant Darling Harbour precinct. Includes sailing on the harbour, wildlife encounters at Taronga Zoo and fresh seafood at Sydney Fish Market.;2026-10-05T07:00:00Z;2026-10-19T19:00:00Z;c1c1c1c1-0003-4111-8111-111111111103
c4c4c4c4-0007-4444-8444-444444444407;Singapore Food Safari;3800.00;USD;Embark on a culinary adventure through Singapore's legendary hawker centers and Michelin-starred restaurants. Explore Gardens by the Bay, Sentosa Island and the historic Chinatown and Little India districts. Visit the iconic Marina Bay Sands, enjoy night safari at Singapore Zoo and discover the unique Peranakan culture of the region.;2026-09-01T08:00:00Z;2026-09-08T20:00:00Z;c1c1c1c1-0004-4111-8111-111111111104
c4c4c4c4-0008-4444-8444-444444444408;Swiss Alps Winter Escape;8500.00;EUR;Experience the magic of the Alps with world-class skiing in Zermatt and Verbier. Stay in charming mountain chalets with stunning Matterhorn views and enjoy fondue evenings in cozy mountain restaurants. Includes scenic cogwheel train rides to Jungfraujoch, ice skating on frozen lakes and rejuvenating alpine spa treatments.;2027-01-05T07:00:00Z;2027-01-19T18:00:00Z;c1c1c1c1-0005-4111-8111-111111111105
c4c4c4c4-0009-4444-8444-444444444409;London Heritage Tour;4200.00;GBP;Immerse yourself in centuries of British history with visits to Buckingham Palace, Tower of London and Westminster Abbey. Explore world-class museums including the British Museum and Natural History Museum. Enjoy West End theatre shows, afternoon tea at Claridge's and day trips to Windsor Castle and the ancient mystery of Stonehenge.;2026-09-15T08:00:00Z;2026-09-28T20:00:00Z;c1c1c1c1-0006-4111-8111-111111111106
c4c4c4c4-0010-4444-8444-444444444410;Tokyo Cherry Blossom Trip;850000.00;JPY;Witness Japan's most celebrated season with hanami picnics in Ueno Park and Shinjuku Gyoen. Explore the vibrant streets of Shibuya and Harajuku, visit ancient Senso-ji temple in Asakusa and enjoy authentic sushi at the legendary Tsukiji market. Includes a day trip to Mount Fuji and a traditional ryokan stay in Hakone.;2026-06-20T06:00:00Z;2026-07-03T18:00:00Z;c1c1c1c1-0007-4111-8111-111111111107
